scenario,mode,rtt_ms,loss_pct,timeout_ms,pto,run,status,failed_stage,errno,attempts,latency_ms,bytes_online,msgs_online,cpu_ms_ue,cpu_ms_leo2,ts5,ts6,rain_profile,bw_factor,down_rate_mbps,up_rate_mbps,bad_ticks,total_ticks,bad_ratio,blackout_events,blackout_ticks,window_profile,window_duration_ms,uplink_delay_ms,down_ready_ms,guard_close_ms,scheduled_blackouts,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,96,ok,,0,1,37.568709,374,1,3.745,14.052,1.76278E+12,1.76278E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,97,ok,,0,1,36.428625,374,1,4.147,15.225,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,98,ok,,0,1,39.110209,374,1,3.711,13.973,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,99,ok,,0,1,36.161459,374,1,3.785,13.857,1.76278E+12,1.76278E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,100,ok,,0,1,39.225709,374,1,3.848,13.851,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,101,ok,,0,1,33.51375,374,1,3.724,13.669,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,102,ok,,0,1,36.700583,374,1,3.705,13.881,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,103,ok,,0,1,31.434375,374,1,3.703,13.816,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,104,ok,,0,1,36.462125,374,1,3.815,14.067,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,105,ok,,0,1,31.085541,374,1,3.734,13.562,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,106,ok,,0,1,36.904042,374,1,3.786,13.777,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,107,ok,,0,1,34.606458,374,1,3.803,13.806,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,108,ok,,0,1,36.401833,374,1,3.694,13.453,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,109,ok,,0,1,34.107291,374,1,3.713,13.948,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,110,ok,,0,1,34.766875,374,1,3.595,13.811,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,111,ok,,0,1,34.457792,374,1,3.792,13.509,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,112,ok,,0,1,36.37025,374,1,3.809,13.944,1.76278E+12,1.76278E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,113,ok,,0,1,39.942792,374,1,3.753,13.942,1.76278E+12,1.76278E+12,light,0.8,80,0,1,1,1,0,0,,,,,,,,,,,,,,,,,
y2_rain_fade,RAIN_FADE,14,0.1,300,2,114,ok,,0,1,31.654625,374,1,3.677,13.442,1.76278E+12,1.76278E+12,light,0.8,80,0,0,1,0,0,0,,,,,,,,,,,,,,,,,
